epoch,acc,loss
0,0.53540904690307189,7.4883217348501523
1,0.53540904717776583,7.4883214248885333
2,0.53540904690044322,7.4883214259820514
3,0.53540904694973046,7.4883214223453445
4,0.53540904720339522,7.4883214230549058
5,0.53540904708247727,7.488321424041235
6,0.53540904697733127,7.4883214233534012
7,0.53540904709759196,7.4883214229429829
8,0.53540904684655588,7.4883214238336846
9,0.53540904716265114,7.4883214235670819
10,0.53540904700624636,7.488321425409155
11,0.53540904705027625,7.4883214255017689
12,0.53540904688598567,7.4883214239259237
13,0.5354090470266184,7.4883214258260269
14,0.53540904719025195,7.4883214235141597
15,0.53540904725202521,7.4883214234022368
16,0.53540904698456004,7.4883214239279656
17,0.53540904694841607,7.4883214235216347
18,0.53540904716396542,7.4883214227170933
19,0.53540904693395852,7.4883214263286835
20,0.53540904715936533,7.4883214234388635
21,0.53540904689584312,7.4883214251035586
22,0.53540904677426804,7.4883214287056825
23,0.53540904702990422,7.4883214233981503
24,0.53540904692475821,7.4883214253966228
25,0.53540904708510595,7.4883214237509126
26,0.53540904699836045,7.4883214244347114
27,0.53540904697930269,7.4883214241748854
28,0.53540904677886814,7.4883214263266407
29,0.53540904669475131,7.4883214261272126
30,0.53540904701150371,7.4883214240520983
31,0.53540904687481394,7.4883214251442718
32,0.53540904699770331,7.4883214238560587
33,0.53540904693790148,7.4883214224294621
34,0.53540904696615954,7.4883214234212225
35,0.53540904698324576,7.4883214231112163
36,0.53540904701676095,7.4883214231376778
37,0.53540904693132985,7.4883214266142728
38,0.53540904691950097,7.4883214240520983
39,0.53540904675586742,7.48832142606547
40,0.53540904690044322,7.4883214215041765
41,0.53540904709102033,7.4883214259067552
42,0.53540904706407666,7.4883214237665099
43,0.53540904699507463,7.4883214236701843
44,0.53540904698193137,7.4883214257744504
45,0.53540904721390981,7.4883214258239832
46,0.53540904704107606,7.4883214257954789
47,0.53540904694973046,7.4883214261950339
48,0.53540904687481394,7.4883214276847188
49,0.53540904717776583,7.4883214235847229
50,0.53540904702990422,7.4883214228313832
51,0.53540904691358648,7.4883214259277846
52,0.53540904712519288,7.4883214245269496
53,0.53540904694513025,7.4883214247738685
54,0.53540904703056147,7.4883214242610459
55,0.53540904698653158,7.4883214244835461
56,0.53540904705093351,7.4883214214872336
57,0.53540904697733127,7.4883214256292892
58,0.53540904682421242,7.4883214260119013
59,0.53540904694315883,7.4883214227482879
60,0.53540904701413239,7.4883214259433819
61,0.53540904680252599,7.4883214264491045
62,0.53540904721325266,7.4883214233547468
63,0.53540904693855862,7.4883214255119341
